功能点(tag),Tree,Bytecode,Fast,AOT(IR),Tree位置,Bytecode位置,Fast位置,AOT位置,缺失原因,备注
method_call,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
property_access,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
safe_property_access,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
variable_property_access,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
array_access,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
function_call,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
function_decl,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
static_method_call,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
static_property_access,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
use_stmt,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
namespace_stmt,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
include_stmt,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
require_stmt,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
block,已实现,已实现,已实现,已实现,,,,,,
expression_stmt,已实现,已实现,已实现,已实现,,,,,,
assignment,已实现,已实现,已实现,已实现,,,,,,
compound_assignment,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
echo_stmt,已实现,已实现,已实现,已实现,,,,,,
return_stmt,已实现,已实现,已实现,已实现,,,,,,
break_stmt,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
continue_stmt,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
variable,已实现,已实现,已实现,已实现,,,,,,
literal_int,已实现,已实现,已实现,已实现,,,,,,
literal_float,已实现,已实现,已实现,已实现,,,,,,
literal_string,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
literal_bool,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
literal_null,已实现,已实现,已实现,已实现,,,,,,
magic_constant,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
array_init,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
array_pair,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
named_arg,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
binary_expr,已实现,已实现,已实现,已实现,,,,,,
unary_expr,已实现,已实现,已实现,已实现,,,,,,
postfix_expr,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
ternary_expr,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
unpacking_expr,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
pipe_expr,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
clone_with_expr,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
struct_instantiation,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
object_instantiation,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
trait_use,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
named_type,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
nullable_type,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
union_type,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
intersection_type,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
class_constant_access,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
self_expr,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
parent_expr,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
static_expr,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
cast_expr,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
